Frappe,ITQAN,
Frappe Framework,ITQAN ERP,
Frappe Framework Version,ITQAN Version,
Frappe Framework instance can function as an OAuth Client,ITQAN instance can function as an OAuth Client,
Frappe CRM,ITQAN CRM,
Frappe Helpdesk,ITQAN Helpdesk,
Switch to Frappe CRM,Switch to ITQAN CRM,
Open Frappe CRM,Open ITQAN CRM,
Open Frappe Helpdesk,Open ITQAN Helpdesk,
Visit Frappe Support Portal,Visit ITQAN Support Portal,
Frappe CRM Deal,ITQAN CRM Deal,
Frappe CRM Allowed User,ITQAN CRM Allowed User,
Enable Frappe CRM Data Synchronization,Enable ITQAN CRM Data Synchronization,
Frappe CRM data synchronization is not enabled on ERPNext. Contact System Manager of ERPNext.,ITQAN CRM data synchronization is not enabled on ITQAN ERP. Contact System Manager of ITQAN ERP.,
User not allowed to synchronize data from Frappe CRM on ERPNext. Contact System Manager of ERPNext.,User not allowed to synchronize data from ITQAN CRM on ITQAN ERP. Contact System Manager of ITQAN ERP.,
Please add atleast one user on Allowed Users to allow Data Synchronization from Frappe CRM site.,Please add atleast one user on Allowed Users to allow Data Synchronization from ITQAN CRM site.,
Built on Frappe,Powered by ITQAN,
ERPNext,ITQAN ERP,
ERPNext Settings,ITQAN Settings,
ERPNext User,ITQAN User,
ERPNext Company,ITQAN Company,
ERPNext Integrations,ITQAN Integrations,
ERPNext Manual,ITQAN Manual,
Fiscal Year (requires ERPNext to be installed),Fiscal Year (requires ITQAN ERP to be installed),
Company Abbreviation (requires ERPNext to be installed),Company Abbreviation (requires ITQAN ERP to be installed),
ERPNext will make a stock ledger entry for each transaction of this item. Keep unchecked for non-stock or service items.,ITQAN will make a stock ledger entry for each transaction of this item. Keep unchecked for non-stock or service items.,
Frappe HR,Human Resources
ERPNext, ITQAN ERP
